,text,accept,labels_str
0,The other part of our data consists of an undirected social graph.,['Data'],Data
1,This list of actors can be interpreted to represent the most important barriers to successful software development in Nigeria.,['Definition'],Definition
2,"The two samples were compared on all study variables and on age, gender, position, and organizational tenure.","['Method', 'Theory']",Method Theory
3,"This is supported by a more recent report by  START_CITE West and Curtis (2006) END_CITE  CITE_b72 , which found significant differences between women and men academics, including disparities in tenure and salaries.",['RelationToLiterature'],RelationToLiterature
4,", the false noise parameter C was misstated by 0.10 (either all high or all low in a run) except near the end points (C = 0 or 1).",['Definition'],Definition
5,"In the strategic management literature, the nature of the risk/return relationship was found to be contingent on a number of factors, all subject to managerial discretion: prior firm performance  START_CITE (Fiegenbaum and Thomas, 1986; END_CITE  CITE_b18  START_CITE Chang and Thomas, 1989) END_CITE  CITE_b13 , diversification pattern  START_CITE (Bettis, 1981; END_CITE  CITE_b5  START_CITE Bettis and Mahajan, 1985) END_CITE  CITE_b6 , industry membership  START_CITE (Bowman, 1980; END_CITE  CITE_b9  START_CITE Bettis and Mahajan, 1985) END_CITE  CITE_b6 , strategic focus and decision discretion  START_CITE (Jemison, 1987) END_CITE  CITE_b22  or firm structure  START_CITE (Hoskisson, 1987) END_CITE  CITE_b21 .",['RelationToLiterature'],RelationToLiterature
6,"No such link was found however, but, according to one of our con-tacts at KLM Cargo, the expectation is that this will be dealt with in the near future.",['FutureWork'],FutureWork
7,"The problem is that the timeliness of the data and the speed at which they arrive can also, like data volume and variety, operate to increase the perceived complexity of knowledge generated from such data, enhance perceived effort to share such knowledge, and increase expected inability to cater to one's own needs.","['Data', 'Limitation']",Data Limitation
8,The social sciences differ from the physical sciences in that the validity of research depends significantly on its context.,['RelationToLiterature'],RelationToLiterature
9,Browne et al.  START_CITE [3] END_CITE  CITE_b2  explain the development of CIM as the eulmination of a long and ongoing effort in the application of automation in the manufacture of discrete parts.,['RelationToLiterature'],RelationToLiterature
10,"We focus here on the distinction between individualism and collectivism as the most pertinent dimension for questions of collective action  START_CITE (Hofstede, 2001) END_CITE  CITE_b36 , specifically on the notion of institutional collectivism  START_CITE (Chhokar et al., 2007; END_CITE  CITE_b10  START_CITE House et al., 2004) END_CITE  CITE_b38 , which refers to the degree to which societal practices encourage and reward collective action.","['RelationToLiterature', 'Definition']",RelationToLiterature Definition
11,Interactions between researchers and participants can influence interpretive research.,['Method'],Method
12,The first design requirement states the need to improve the transmission rate by AAC systems.,['Definition'],Definition
13,"The statistical results indicated that the difference is significant between the matched (mean = 1,363.20) and mismatched (mean = 1,132.60) conditions under the provision of attribute-based reviews (t = 3.141, p = 0.014).",['EmpiricalResult'],EmpiricalResult
14,The four Web sites' addresses were saved on a system that randomized the order in which they were presented.,['Method'],Method
